Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
12.2,2025-01-16,Thursday,09:35:00,10.55,65,PE,23250.0,Buy,2025-01-16,Thursday,09:36:00,10.9,22.74999999999998,3.317535545023693,2025-01-16,,,Exit Condition Met For Trade
13,2025-01-17,,09:35:00,23239.95,,,,,2025-01-17,,09:36:00,23242.15,201.5,,,201.5,0,Exit Condition Met For Trade
13.1,2025-01-17,Friday,09:35:00,122.75,65,CE,23350.0,Buy,2025-01-17,Friday,09:36:00,125.2,159.25000000000017,1.9959266802444016,2025-01-23,,,Target Hit
13.2,2025-01-17,Friday,09:35:00,124.45,65,PE,23150.0,Buy,2025-01-17,Friday,09:36:00,125.1,42.249999999999446,0.5222981116914355,2025-01-23,,,Exit Condition Met For Trade
14,2025-01-20,,09:35:00,23186.7,,,,,2025-01-20,,09:36:00,23191.3,-68.25,,,0,-68.25,Exit Condition Met For Trade
14.1,2025-01-20,Monday,09:35:00,127.4,65,CE,23300.0,Buy,2025-01-20,Monday,09:36:00,129.95,165.7499999999989,2.001569858712702,2025-01-23,,,Target Hit
14.2,2025-01-20,Monday,09:35:00,135.0,65,PE,23100.0,Buy,2025-01-20,Monday,09:36:00,131.4,-233.99999999999963,-2.6666666666666625,2025-01-23,,,Exit Condition Met For Trade
15,2025-01-21,,09:35:00,23359.25,,,,,2025-01-21,,09:36:00,23361.8,42.25,,,42.25,0,Exit Condition Met For Trade
15.1,2025-01-21,Tuesday,09:35:00,98.85,65,CE,23450.0,Buy,2025-01-21,Tuesday,09:36:00,100.85,130.0,2.0232675771370765,2025-01-23,,,Target Hit
15.2,2025-01-21,Tuesday,09:35:00,98.2,65,PE,23250.0,Buy,2025-01-21,Tuesday,09:36:00,96.85,-87.75000000000055,-1.3747454175152836,2025-01-23,,,Exit Condition Met For Trade
16,2025-01-22,,09:35:00,23100.95,,,,,2025-01-22,,09:36:00,23092.95,279.5,,,279.5,0,Exit Condition Met For Trade
16.1,2025-01-22,Wednesday,09:35:00,76.9,65,CE,23200.0,Buy,2025-01-22,Wednesday,09:36:00,78.45,100.74999999999982,2.0156046814044175,2025-01-23,,,Target Hit
16.2,2025-01-22,Wednesday,09:35:00,55.1,65,PE,23000.0,Buy,2025-01-22,Wednesday,09:36:00,57.85,178.75,4.99092558983666,2025-01-23,,,Target Hit
17,2025-01-23,,09:35:00,23114.45,,,,,2025-01-23,,09:36:00,23152.55,78.0,,,78.0,0,Exit Condition Met For Trade
17.1,2025-01-23,Thursday,09:35:00,23.05,65,CE,23200.0,Buy,2025-01-23,Thursday,09:36:00,23.5,29.249999999999954,1.9522776572668081,2025-01-23,,,Target Hit
17.2,2025-01-23,Thursday,09:35:00,14.6,65,PE,23000.0,Buy,2025-01-23,Thursday,09:36:00,15.35,48.75,5.136986301369864,2025-01-23,,,Target Hit
18,2025-01-24,,09:35:00,23225.45,,,,,2025-01-24,,09:36:00,23229.3,-149.5,,,0,-149.5,Exit Condition Met For Trade
18.1,2025-01-24,Friday,09:35:00,142.95,65,CE,23350.0,Buy,2025-01-24,Friday,09:36:00,144.85,123.50000000000037,1.32913606155999,2025-01-30,,,Exit Condition Met For Trade
18.2,2025-01-24,Friday,09:35:00,151.15,65,PE,23150.0,Buy,2025-01-24,Friday,09:36:00,146.95,-273.00000000000114,-2.778696658948076,2025-01-30,,,Exit Condition Met For Trade
19,2025-01-27,,09:35:00,22982.05,,,,,2025-01-27,,09:36:00,22997.15,-48.75,,,0,-48.75,Exit Condition Met For Trade
19.1,2025-01-27,Monday,09:35:00,130.45,65,CE,23100.0,Buy,2025-01-27,Monday,09:36:00,133.05,169.00000000000148,1.9931008049061119,2025-01-30,,,Target Hit
19.2,2025-01-27,Monday,09:35:00,134.0,65,PE,22900.0,Buy,2025-01-27,Monday,09:36:00,130.65,-217.74999999999963,-2.4999999999999956,2025-01-30,,,Exit Condition Met For Trade
20,2025-01-28,,09:35:00,22895.4,,,,,2025-01-28,,09:36:00,22904.7,516.75,,,516.75,0,Exit Condition Met For Trade
20.1,2025-01-28,Tuesday,09:35:00,114.0,65,CE,23000.0,Buy,2025-01-28,Tuesday,09:36:00,116.3,149.49999999999983,2.01754385964912,2025-01-30,,,Target Hit
20.2,2025-01-28,Tuesday,09:35:00,112.75,65,PE,22800.0,Buy,2025-01-28,Tuesday,09:36:00,118.4,367.25000000000034,5.011086474501114,2025-01-30,,,Target Hit
21,2025-01-29,,09:35:00,23031.25,,,,,2025-01-29,,09:36:00,23025.2,237.25,,,237.25,0,Exit Condition Met For Trade
21.1,2025-01-29,Wednesday,09:35:00,99.15,65,CE,23150.0,Buy,2025-01-29,Wednesday,09:36:00,101.15,130.0,2.0171457387796266,2025-01-30,,,Target Hit
21.2,2025-01-29,Wednesday,09:35:00,114.85,65,PE,22950.0,Buy,2025-01-29,Wednesday,09:36:00,116.5,107.25000000000037,1.436656508489339,2025-01-30,,,Exit Condition Met For Trade
22,2025-01-30,,09:35:00,23189.0,,,,,2025-01-30,,09:36:00,23196.65,-139.75,,,0,-139.75,Exit Condition Met For Trade
22.1,2025-01-30,Thursday,09:35:00,66.85,65,CE,23300.0,Buy,2025-01-30,Thursday,09:36:00,68.2,87.75000000000055,2.019446522064336,2025-01-30,,,Target Hit
22.2,2025-01-30,Thursday,09:35:00,86.85,65,PE,23100.0,Buy,2025-01-30,Thursday,09:36:00,83.35,-227.5,-4.02993667242372,2025-01-30,,,Exit Condition Met For Trade
23,2025-01-31,,09:35:00,23318.55,,,,,2025-01-31,,09:36:00,23308.0,-146.25,,,0,-146.25,Exit Condition Met For Trade
23.1,2025-01-31,Friday,09:35:00,309.9,65,CE,23400.0,Buy,2025-01-31,Friday,09:36:00,300.9,-585.0,-2.9041626331074544,2025-02-06,,,Exit Condition Met For Trade
23.2,2025-01-31,Friday,09:35:00,242.85,65,PE,23200.0,Buy,2025-01-31,Friday,09:36:00,249.6,438.75,2.7794935145151327,2025-02-06,,,Exit Condition Met For Trade
24,2025-02-01,,09:35:00,23562.65,,,,,2025-02-01,,09:36:00,23553.8,29.25,,,29.25,0,Exit Condition Met For Trade
24.1,2025-02-01,Saturday,09:35:00,210.7,65,CE,23650.0,Buy,2025-02-01,Saturday,09:36:00,207.65,-198.2499999999989,-1.4475557664926355,2025-02-06,,,Exit Condition Met For Trade
24.2,2025-02-01,Saturday,09:35:00,182.4,65,PE,23450.0,Buy,2025-02-01,Saturday,09:36:00,185.9,227.5,1.918859649122807,2025-02-06,,,Exit Condition Met For Trade
25,2025-02-03,,09:35:00,23317.35,,,,,2025-02-03,,09:37:00,23289.35,-162.5,,,19.5,-162.5,Exit Condition Met For Trade
25.1,2025-02-03,Monday,09:35:00,93.7,65,CE,23400.0,Buy,2025-02-03,Monday,09:37:00,86.95,-438.75,-7.20384204909285,2025-02-06,,,Exit Condition Met For Trade
25.2,2025-02-03,Monday,09:35:00,84.75,65,PE,23200.0,Buy,2025-02-03,Monday,09:36:00,89.0,276.25,5.014749262536873,2025-02-06,,,Target Hit
26,2025-02-04,,09:35:00,23510.6,,,,,2025-02-04,,09:37:00,23516.95,-74.75,,,19.5,-74.75,Exit Condition Met For Trade
26.1,2025-02-04,Tuesday,09:35:00,82.8,65,CE,23600.0,Buy,2025-02-04,Tuesday,09:36:00,84.45,107.25000000000037,1.9927536231884126,2025-02-06,,,Target Hit
26.2,2025-02-04,Tuesday,09:35:00,75.8,65,PE,23400.0,Buy,2025-02-04,Tuesday,09:37:00,73.0,-181.99999999999983,-3.693931398416883,2025-02-06,,,Exit Condition Met For Trade
27,2025-02-05,,09:35:00,23763.75,,,,,2025-02-05,,09:36:00,23776.2,-104.0,,,0,-104.0,Exit Condition Met For Trade
27.1,2025-02-05,Wednesday,09:35:00,41.0,65,CE,23850.0,Buy,2025-02-05,Wednesday,09:36:00,41.8,51.999999999999815,1.951219512195115,2025-02-06,,,Target Hit
27.2,2025-02-05,Wednesday,09:35:00,53.8,65,PE,23650.0,Buy,2025-02-05,Wednesday,09:36:00,51.4,-155.99999999999991,-4.460966542750927,2025-02-06,,,Exit Condition Met For Trade
28,2025-02-06,,09:35:00,23656.85,,,,,2025-02-06,,09:36:00,23664.05,-139.75,,,0,-139.75,Exit Condition Met For Trade
28.1,2025-02-06,Thursday,09:35:00,37.6,65,CE,23750.0,Buy,2025-02-06,Thursday,09:36:00,38.35,48.75,1.9946808510638296,2025-02-06,,,Target Hit
28.2,2025-02-06,Thursday,09:35:00,34.1,65,PE,23550.0,Buy,2025-02-06,Thursday,09:36:00,31.2,-188.50000000000014,-8.504398826979479,2025-02-06,,,Exit Condition Met For Trade
29,2025-02-07,,09:35:00,23593.4,,,,,2025-02-07,,09:36:00,23602.6,-107.25,,,0,-107.25,Exit Condition Met For Trade
29.1,2025-02-07,Friday,09:35:00,156.4,65,CE,23700.0,Buy,2025-02-07,Friday,09:36:00,158.0,103.99999999999963,1.0230179028132955,2025-02-13,,,Exit Condition Met For Trade
29.2,2025-02-07,Friday,09:35:00,141.7,65,PE,23500.0,Buy,2025-02-07,Friday,09:36:00,138.45,-211.25,-2.293577981651376,2025-02-13,,,Exit Condition Met For Trade
30,2025-02-10,,09:35:00,23443.2,,,,,2025-02-10,,09:36:00,23440.7,74.75,,,74.75,0,Exit Condition Met For Trade
30.1,2025-02-10,Monday,09:35:00,101.1,65,CE,23550.0,Buy,2025-02-10,Monday,09:36:00,101.2,6.500000000000554,0.09891196834817857,2025-02-13,,,Exit Condition Met For Trade
30.2,2025-02-10,Monday,09:35:00,97.2,65,PE,23350.0,Buy,2025-02-10,Monday,09:36:00,98.25,68.24999999999982,1.080246913580244,2025-02-13,,,Exit Condition Met For Trade
31,2025-02-11,,09:35:00,23310.5,,,,,2025-02-11,,09:36:00,23321.45,-39.0,,,0,-39.0,Exit Condition Met For Trade
31.1,2025-02-11,Tuesday,09:35:00,103.1,65,CE,23400.0,Buy,2025-02-11,Tuesday,09:36:00,105.15,133.25000000000074,1.9883608147429792,2025-02-13,,,Target Hit
31.2,2025-02-11,Tuesday,09:35:00,78.35,65,PE,23200.0,Buy,2025-02-11,Tuesday,09:36:00,75.7,-172.24999999999943,-3.382259093809817,2025-02-13,,,Exit Condition Met For Trade
32,2025-02-12,,09:35:00,22935.3,,,,,2025-02-12,,09:36:00,22932.1,61.75,,,61.75,0,Exit Condition Met For Trade
32.1,2025-02-12,Wednesday,09:35:00,69.55,65,CE,23050.0,Buy,2025-02-12,Wednesday,09:36:00,70.95,91.00000000000037,2.012940330697348,2025-02-13,,,Target Hit
32.2,2025-02-12,Wednesday,09:35:00,57.45,65,PE,22850.0,Buy,2025-02-12,Wednesday,09:36:00,57.0,-29.250000000000185,-0.7832898172323809,2025-02-13,,,Exit Condition Met For Trade
33,2025-02-13,,09:35:00,23103.2,,,,,2025-02-13,,09:36:00,23096.7,185.25,,,185.25,0,Exit Condition Met For Trade
33.1,2025-02-13,Thursday,09:35:00,45.85,65,CE,23200.0,Buy,2025-02-13,Thursday,09:36:00,46.75,58.49999999999991,1.9629225736095934,2025-02-13,,,Target Hit
33.2,2025-02-13,Thursday,09:35:00,39.1,65,PE,23000.0,Buy,2025-02-13,Thursday,09:36:00,41.05,126.74999999999972,4.987212276214823,2025-02-13,,,Target Hit
34,2025-02-14,,09:35:00,23020.85,,,,,2025-02-14,,09:36:00,23008.7,91.0,,,91.0,0,Exit Condition Met For Trade
34.1,2025-02-14,Friday,09:35:00,163.65,65,CE,23100.0,Buy,2025-02-14,Friday,09:36:00,159.2,-289.25000000000114,-2.7192178429575415,2025-02-20,,,Exit Condition Met For Trade
34.2,2025-02-14,Friday,09:35:00,116.65,65,PE,22900.0,Buy,2025-02-14,Friday,09:36:00,122.5,380.24999999999966,5.015002143163304,2025-02-20,,,Target Hit
35,2025-02-17,,09:35:00,22805.55,,,,,2025-02-17,,09:36:00,22794.4,536.25,,,536.25,0,Exit Condition Met For Trade
35.1,2025-02-17,Monday,09:35:00,152.85,65,CE,22900.0,Buy,2025-02-17,Monday,09:36:00,155.9,198.25000000000074,1.9954203467451825,2025-02-20,,,Target Hit
35.2,2025-02-17,Monday,09:35:00,104.05,65,PE,22700.0,Buy,2025-02-17,Monday,09:36:00,109.25,338.00000000000017,4.997597308986067,2025-02-20,,,Target Hit
36,2025-02-18,,09:35:00,22878.4,,,,,2025-02-18,,09:36:00,22881.35,188.5,,,188.5,0,Exit Condition Met For Trade
36.1,2025-02-18,Tuesday,09:35:00,99.9,65,CE,23000.0,Buy,2025-02-18,Tuesday,09:36:00,101.9,130.0,2.0020020020020017,2025-02-20,,,Target Hit
36.2,2025-02-18,Tuesday,09:35:00,113.1,65,PE,22800.0,Buy,2025-02-18,Tuesday,09:36:00,114.0,58.50000000000037,0.7957559681697663,2025-02-20,,,Exit Condition Met For Trade
37,2025-02-19,,09:35:00,22890.65,,,,,2025-02-19,,09:36:00,22890.7,78.0,,,78.0,0,Exit Condition Met For Trade
37.1,2025-02-19,Wednesday,09:35:00,59.8,65,CE,23000.0,Buy,2025-02-19,Wednesday,09:36:00,61.0,78.00000000000018,2.006688963210707,2025-02-20,,,Target Hit
37.2,2025-02-19,Wednesday,09:35:00,64.1,65,PE,22800.0,Buy,2025-02-19,Wednesday,09:36:00,64.1,0.0,0.0,2025-02-20,,,Exit Condition Met For Trade
38,2025-02-20,,09:35:00,22866.9,,,,,2025-02-20,,09:36:00,22870.45,42.25,,,42.25,0,Exit Condition Met For Trade
38.1,2025-02-20,Thursday,09:35:00,28.9,65,CE,22950.0,Buy,2025-02-20,Thursday,09:36:00,29.5,39.00000000000009,2.0761245674740536,2025-02-20,,,Target Hit
38.2,2025-02-20,Thursday,09:35:00,18.55,65,PE,22750.0,Buy,2025-02-20,Thursday,09:36:00,18.6,3.250000000000046,0.26954177897574505,2025-02-20,,,Exit Condition Met For Trade
39,2025-02-21,,09:35:00,22889.1,,,,,2025-02-21,,09:36:00,22887.45,-55.25,,,0,-55.25,Exit Condition Met For Trade
39.1,2025-02-21,Friday,09:35:00,114.7,65,CE,23000.0,Buy,2025-02-21,Friday,09:36:00,115.4,45.500000000000185,0.610287707061903,2025-02-27,,,Exit Condition Met For Trade
39.2,2025-02-21,Friday,09:35:00,106.35,65,PE,22800.0,Buy,2025-02-21,Friday,09:36:00,104.8,-100.74999999999982,-1.4574518100611165,2025-02-27,,,Exit Condition Met For Trade
40,2025-02-24,,09:35:00,22627.4,,,,,2025-02-24,,09:36:00,22624.55,-35.75,,,0,-35.75,Exit Condition Met For Trade
40.1,2025-02-24,Monday,09:35:00,84.25,65,CE,22750.0,Buy,2025-02-24,Monday,09:36:00,84.5,16.25,0.29673590504451036,2025-02-27,,,Exit Condition Met For Trade
40.2,2025-02-24,Monday,09:35:00,82.5,65,PE,22550.0,Buy,2025-02-24,Monday,09:36:00,81.7,-51.999999999999815,-0.9696969696969663,2025-02-27,,,Exit Condition Met For Trade
41,2025-02-25,,09:35:00,22584.25,,,,,2025-02-25,,09:37:00,22585.95,107.25,,,107.25,0,Exit Condition Met For Trade
41.1,2025-02-25,Tuesday,09:35:00,38.55,65,CE,22700.0,Buy,2025-02-25,Tuesday,09:36:00,39.3,48.75,1.945525291828794,2025-02-27,,,Target Hit
41.2,2025-02-25,Tuesday,09:35:00,40.6,65,PE,22500.0,Buy,2025-02-25,Tuesday,09:37:00,41.5,58.49999999999991,2.216748768472903,2025-02-27,,,Exit Condition Met For Trade
42,2025-02-27,,09:35:00,22562.4,,,,,2025-02-27,,09:36:00,22572.95,-58.5,,,0,-58.5,Exit Condition Met For Trade
42.1,2025-02-27,Thursday,09:35:00,8.15,65,CE,22650.0,Buy,2025-02-27,Thursday,09:36:00,8.3,9.750000000000023,1.8404907975460165,2025-02-27,,,Target Hit
42.2,2025-02-27,Thursday,09:35:00,7.4,65,PE,22450.0,Buy,2025-02-27,Thursday,09:36:00,6.35,-68.25000000000004,-14.189189189189198,2025-02-27,,,Exit Condition Met For Trade
43,2025-02-28,,09:35:00,22279.65,,,,,2025-02-28,,09:36:00,22276.0,182.0,,,182.0,0,Exit Condition Met For Trade
43.1,2025-02-28,Friday,09:35:00,114.65,65,CE,22400.0,Buy,2025-02-28,Friday,09:36:00,116.95,149.49999999999983,2.0061055385957234,2025-03-06,,,Target Hit
43.2,2025-02-28,Friday,09:35:00,90.5,65,PE,22200.0,Buy,2025-02-28,Friday,09:36:00,91.0,32.5,0.5524861878453039,2025-03-06,,,Exit Condition Met For Trade
44,2025-03-03,,09:35:00,22170.1,,,,,2025-03-03,,09:36:00,22176.9,152.75,,,152.75,0,Exit Condition Met For Trade
44.1,2025-03-03,Monday,09:35:00,111.8,65,CE,22250.0,Buy,2025-03-03,Monday,09:36:00,114.05,146.25,2.012522361359571,2025-03-06,,,Target Hit
44.2,2025-03-03,Monday,09:35:00,66.15,65,PE,22050.0,Buy,2025-03-03,Monday,09:36:00,66.25,6.4999999999996305,0.15117157974299972,2025-03-06,,,Exit Condition Met For Trade
45,2025-03-04,,09:35:00,22023.6,,,,,2025-03-04,,09:36:00,22015.05,195.0,,,195.0,0,Exit Condition Met For Trade
45.1,2025-03-04,Tuesday,09:35:00,78.15,65,CE,22100.0,Buy,2025-03-04,Tuesday,09:36:00,79.7,100.74999999999982,1.9833653230966053,2025-03-06,,,Target Hit
45.2,2025-03-04,Tuesday,09:35:00,49.75,65,PE,21900.0,Buy,2025-03-04,Tuesday,09:36:00,51.2,94.25000000000018,2.9145728643216136,2025-03-06,,,Exit Condition Met For Trade
46,2025-03-05,,09:35:00,22208.95,,,,,2025-03-05,,09:36:00,22202.9,156.0,,,156.0,0,Exit Condition Met For Trade
46.1,2025-03-05,Wednesday,09:35:00,44.4,65,CE,22300.0,Buy,2025-03-05,Wednesday,09:36:00,45.3,58.49999999999991,2.027027027027024,2025-03-06,,,Target Hit
46.2,2025-03-05,Wednesday,09:35:00,45.55,65,PE,22100.0,Buy,2025-03-05,Wednesday,09:36:00,47.05,97.5,3.2930845225027445,2025-03-06,,,Exit Condition Met For Trade
47,2025-03-06,,09:35:00,22309.55,,,,,2025-03-06,,09:36:00,22318.5,-87.75,,,0,-87.75,Exit Condition Met For Trade
47.1,2025-03-06,Thursday,09:35:00,24.2,65,CE,22400.0,Buy,2025-03-06,Thursday,09:36:00,24.7,32.5,2.066115702479339,2025-03-06,,,Target Hit
47.2,2025-03-06,Thursday,09:35:00,27.25,65,PE,22200.0,Buy,2025-03-06,Thursday,09:36:00,25.4,-120.25000000000009,-6.788990825688079,2025-03-06,,,Exit Condition Met For Trade
48,2025-03-07,,09:35:00,22562.6,,,,,2025-03-07,,09:36:00,22539.75,464.75,,,464.75,0,Exit Condition Met For Trade
48.1,2025-03-07,Friday,09:35:00,118.35,65,CE,22650.0,Buy,2025-03-07,Friday,09:36:00,120.7,152.75000000000057,1.9856358259400158,2025-03-13,,,Target Hit
48.2,2025-03-07,Friday,09:35:00,96.4,65,PE,22450.0,Buy,2025-03-07,Friday,09:36:00,101.2,311.99999999999983,4.9792531120331915,2025-03-13,,,Target Hit
49,2025-03-10,,09:35:00,22597.3,,,,,2025-03-10,,09:36:00,22608.75,-58.5,,,0,-58.5,Exit Condition Met For Trade
49.1,2025-03-10,Monday,09:35:00,76.0,65,CE,22700.0,Buy,2025-03-10,Monday,09:36:00,77.5,97.5,1.9736842105263157,2025-03-13,,,Target Hit
49.2,2025-03-10,Monday,09:35:00,91.15,65,PE,22500.0,Buy,2025-03-10,Monday,09:36:00,88.75,-156.00000000000037,-2.633022490400445,2025-03-13,,,Exit Condition Met For Trade
50,2025-03-11,,09:35:00,22360.1,,,,,2025-03-11,,09:36:00,22358.55,78.0,,,78.0,0,Exit Condition Met For Trade
50.1,2025-03-11,Tuesday,09:35:00,75.5,65,CE,22450.0,Buy,2025-03-11,Tuesday,09:36:00,77.0,97.5,1.9867549668874172,2025-03-13,,,Target Hit
50.2,2025-03-11,Tuesday,09:35:00,66.75,65,PE,22250.0,Buy,2025-03-11,Tuesday,09:36:00,66.45,-19.499999999999815,-0.4494382022471868,2025-03-13,,,Exit Condition Met For Trade
51,2025-03-12,,09:35:00,22473.2,,,,,2025-03-12,,09:37:00,22474.4,94.25,,,94.25,-3.25,Exit Condition Met For Trade
51.1,2025-03-12,Wednesday,09:35:00,52.9,65,CE,22550.0,Buy,2025-03-12,Wednesday,09:37:00,51.9,-65.0,-1.890359168241966,2025-03-13,,,Exit Condition Met For Trade
51.2,2025-03-12,Wednesday,09:35:00,49.2,65,PE,22350.0,Buy,2025-03-12,Wednesday,09:36:00,51.65,159.24999999999972,4.979674796747958,2025-03-13,,,Target Hit
52,2025-03-13,,09:35:00,22475.85,,,,,2025-03-13,,09:36:00,22476.75,68.25,,,68.25,0,Exit Condition Met For Trade
52.1,2025-03-13,Thursday,09:35:00,8.95,65,CE,22600.0,Buy,2025-03-13,Thursday,09:36:00,9.15,13.00000000000007,2.234636871508392,2025-03-13,,,Target Hit
52.2,2025-03-13,Thursday,09:35:00,16.65,65,PE,22400.0,Buy,2025-03-13,Thursday,09:36:00,17.5,55.25000000000009,5.105105105105114,2025-03-13,,,Target Hit
