Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Cumulative Profit
19,NIFTY30JAN2012200PE,65,SELL,67.7,27 Jan 2020 10:45:14,BUY,72,27 Jan 2020 11:14:00,-279.5,-1053
20,NIFTY30JAN2012050PE,65,BUY,30.2,28 Jan 2020 10:45:14,SELL,24.05,28 Jan 2020 10:57:29,-399.75,-906.75
20,NIFTY30JAN2012100PE,65,SELL,48.2,28 Jan 2020 10:45:14,BUY,39.8,28 Jan 2020 10:57:29,546,-906.75
21,NIFTY30JAN2012100PE,65,BUY,21.05,29 Jan 2020 10:45:14,SELL,22.1,29 Jan 2020 11:17:44,68.25,-962
21,NIFTY30JAN2012150PE,65,SELL,38.25,29 Jan 2020 10:45:14,BUY,40.15,29 Jan 2020 11:18:00,-123.5,-962
22,NIFTY30JAN2012000PE,65,BUY,6.9,30 Jan 2020 10:45:14,SELL,5.5,30 Jan 2020 10:48:29,-91,-812.5
22,NIFTY30JAN2012050PE,65,SELL,25.3,30 Jan 2020 10:45:14,BUY,21.6,30 Jan 2020 10:48:29,240.5,-812.5
23,NIFTY06FEB2012000PE,65,BUY,135,31 Jan 2020 10:45:14,SELL,141.75,31 Jan 2020 10:51:44,438.75,-705.25
23,NIFTY06FEB2012050PE,65,SELL,159.7,31 Jan 2020 10:45:14,BUY,164.8,31 Jan 2020 10:52:00,-331.5,-705.25
24,NIFTY06FEB2011650PE,65,BUY,60.6,03 Feb 2020 10:45:14,SELL,50.2,03 Feb 2020 10:48:29,-676,-565.5
24,NIFTY06FEB2011700PE,65,SELL,82.25,03 Feb 2020 10:45:14,BUY,69.7,03 Feb 2020 10:48:29,815.75,-565.5
25,NIFTY06FEB2011800PE,65,BUY,37.1,04 Feb 2020 10:45:14,SELL,38.95,04 Feb 2020 10:48:44,120.25,-627.25
25,NIFTY06FEB2011850PE,65,SELL,57.55,04 Feb 2020 10:45:14,BUY,60.35,04 Feb 2020 10:49:00,-182,-627.25
26,NIFTY06FEB2011950PE,65,BUY,17.45,05 Feb 2020 10:45:14,SELL,18.3,05 Feb 2020 10:45:44,55.25,-676
26,NIFTY06FEB2012000PE,65,SELL,36.6,05 Feb 2020 10:45:14,BUY,38.2,05 Feb 2020 10:46:00,-104,-676
27,NIFTY06FEB2012050PE,65,BUY,6.75,06 Feb 2020 10:45:14,SELL,7.05,06 Feb 2020 10:45:44,19.5,-767
27,NIFTY06FEB2012100PE,65,SELL,21.15,06 Feb 2020 10:45:14,BUY,22.85,06 Feb 2020 10:46:00,-110.5,-767
28,NIFTY13FEB2012050PE,65,BUY,61.35,07 Feb 2020 10:45:14,SELL,64.4,07 Feb 2020 11:28:44,198.25,-715
28,NIFTY13FEB2012100PE,65,SELL,85.35,07 Feb 2020 10:45:14,BUY,87.6,07 Feb 2020 11:29:00,-146.25,-715
29,NIFTY13FEB2011950PE,65,BUY,48.05,10 Feb 2020 10:45:14,SELL,41.35,10 Feb 2020 11:06:29,-435.5,-572
29,NIFTY13FEB2012000PE,65,SELL,71.45,10 Feb 2020 10:45:14,BUY,62.55,10 Feb 2020 11:06:29,578.5,-572
30,NIFTY13FEB2012100PE,65,BUY,28.85,11 Feb 2020 10:45:14,SELL,30.25,11 Feb 2020 11:15:44,91,-513.5
30,NIFTY13FEB2012150PE,65,SELL,48.65,11 Feb 2020 10:45:14,BUY,49.15,11 Feb 2020 11:16:00,-32.5,-513.5
31,NIFTY13FEB2012150PE,65,BUY,14.9,12 Feb 2020 10:45:14,SELL,15.6,12 Feb 2020 10:47:44,45.5,-536.25
31,NIFTY13FEB2012200PE,65,SELL,32.05,12 Feb 2020 10:45:14,BUY,33.1,12 Feb 2020 10:48:00,-68.25,-536.25
32,NIFTY13FEB2012100PE,65,BUY,2.9,13 Feb 2020 10:45:14,SELL,1.75,13 Feb 2020 10:48:29,-74.75,-325
32,NIFTY13FEB2012150PE,65,SELL,18.5,13 Feb 2020 10:45:14,BUY,14.1,13 Feb 2020 10:48:29,286,-325
33,NIFTY20FEB2012150PE,65,BUY,43.2,14 Feb 2020 10:45:14,SELL,45.35,14 Feb 2020 10:49:44,139.75,-666.25
33,NIFTY20FEB2012200PE,65,SELL,64.8,14 Feb 2020 10:45:14,BUY,72.2,14 Feb 2020 10:50:00,-481,-666.25
34,NIFTY20FEB2012050PE,65,BUY,44.35,17 Feb 2020 10:45:14,SELL,46.55,17 Feb 2020 11:05:44,143,-614.25
34,NIFTY20FEB2012100PE,65,SELL,66.1,17 Feb 2020 10:45:14,BUY,67.5,17 Feb 2020 11:06:00,-91,-614.25
35,NIFTY20FEB2011900PE,65,BUY,30.4,18 Feb 2020 10:45:14,SELL,31.9,18 Feb 2020 11:12:44,97.5,-659.75
35,NIFTY20FEB2011950PE,65,SELL,51.4,18 Feb 2020 10:45:14,BUY,53.6,18 Feb 2020 11:13:00,-143,-659.75
36,NIFTY20FEB2012000PE,65,BUY,16.3,19 Feb 2020 10:45:14,SELL,13.35,19 Feb 2020 10:48:29,-191.75,-520
36,NIFTY20FEB2012050PE,65,SELL,33.8,19 Feb 2020 10:45:14,BUY,28.7,19 Feb 2020 10:48:29,331.5,-520
37,NIFTY20FEB2012050PE,65,BUY,1.8,20 Feb 2020 10:45:14,SELL,1.35,20 Feb 2020 10:47:29,-29.25,-728
37,NIFTY20FEB2012100PE,65,SELL,11.05,20 Feb 2020 10:45:14,BUY,13.8,20 Feb 2020 14:55:44,-178.75,-728
38,NIFTY27FEB2011900PE,65,BUY,59.5,24 Feb 2020 10:45:14,SELL,41.4,24 Feb 2020 11:54:29,-1176.5,-432.25
38,NIFTY27FEB2011950PE,65,SELL,83.9,24 Feb 2020 10:45:14,BUY,61.25,24 Feb 2020 11:54:29,1472.25,-432.25
39,NIFTY27FEB2011800PE,65,BUY,54.15,25 Feb 2020 10:45:14,SELL,56.85,25 Feb 2020 10:47:44,175.5,-510.25
39,NIFTY27FEB2011850PE,65,SELL,74.85,25 Feb 2020 10:45:14,BUY,78.75,25 Feb 2020 10:48:00,-253.5,-510.25
40,NIFTY27FEB2011700PE,65,BUY,38.8,26 Feb 2020 10:45:14,SELL,40.7,26 Feb 2020 10:46:44,123.5,-542.75
40,NIFTY27FEB2011750PE,65,SELL,62.75,26 Feb 2020 10:45:14,BUY,65.15,26 Feb 2020 10:47:00,-156,-542.75
41,NIFTY27FEB2011500PE,65,BUY,9.9,27 Feb 2020 10:45:14,SELL,8,27 Feb 2020 10:46:29,-123.5,-399.75
41,NIFTY27FEB2011550PE,65,SELL,26.05,27 Feb 2020 10:45:14,BUY,21.95,27 Feb 2020 10:46:29,266.5,-399.75
42,NIFTY05MAR2011250PE,65,BUY,114.5,28 Feb 2020 10:45:14,SELL,120.2,28 Feb 2020 10:51:44,370.5,-692.25
42,NIFTY05MAR2011300PE,65,SELL,134.1,28 Feb 2020 10:45:14,BUY,144.3,28 Feb 2020 10:52:00,-663,-692.25
43,NIFTY05MAR2011250PE,65,BUY,89.9,02 Mar 2020 10:45:14,SELL,94.35,02 Mar 2020 10:49:44,289.25,-591.5
43,NIFTY05MAR2011300PE,65,SELL,107.3,02 Mar 2020 10:45:14,BUY,110.2,02 Mar 2020 10:50:00,-188.5,-591.5
44,NIFTY05MAR2011150PE,65,BUY,127.25,03 Mar 2020 10:45:14,SELL,133.6,03 Mar 2020 10:45:44,412.75,-611
44,NIFTY05MAR2011200PE,65,SELL,147.5,03 Mar 2020 10:45:14,BUY,154.15,03 Mar 2020 10:46:00,-432.25,-611
45,NIFTY05MAR2011200PE,65,BUY,66.25,04 Mar 2020 10:45:14,SELL,69.55,04 Mar 2020 10:48:44,214.5,-728
45,NIFTY05MAR2011250PE,65,SELL,84.9,04 Mar 2020 10:45:14,BUY,90,04 Mar 2020 10:49:00,-331.5,-728
46,NIFTY05MAR2011250PE,65,BUY,16.35,05 Mar 2020 10:45:14,SELL,13.35,05 Mar 2020 10:45:29,-195,-568.75
46,NIFTY05MAR2011300PE,65,SELL,33.65,05 Mar 2020 10:45:14,BUY,28.2,05 Mar 2020 10:45:29,354.25,-568.75
47,NIFTY12MAR2010800PE,65,BUY,144.45,06 Mar 2020 10:45:14,SELL,133.65,06 Mar 2020 11:41:00,-702,-409.5
47,NIFTY12MAR2010850PE,65,SELL,163.25,06 Mar 2020 10:45:14,BUY,150,06 Mar 2020 11:41:00,861.25,-409.5
48,NIFTY12MAR2010500PE,65,BUY,115.65,09 Mar 2020 10:45:14,SELL,121.4,09 Mar 2020 10:51:44,373.75,-455
48,NIFTY12MAR2010550PE,65,SELL,135.75,09 Mar 2020 10:45:14,BUY,142.2,09 Mar 2020 10:52:00,-419.25,-455
49,NIFTY12MAR2010300PE,65,BUY,88.85,11 Mar 2020 10:45:14,SELL,93.25,11 Mar 2020 10:45:44,286,-100.75
49,NIFTY12MAR2010350PE,65,SELL,109.05,11 Mar 2020 10:45:14,BUY,108,11 Mar 2020 10:46:00,68.25,-100.75
50,NIFTY12MAR209800PE,65,BUY,35,12 Mar 2020 10:45:14,SELL,36.75,12 Mar 2020 10:45:44,113.75,-549.25
50,NIFTY12MAR209850PE,65,SELL,55,12 Mar 2020 10:45:14,BUY,63.65,12 Mar 2020 10:46:00,-562.25,-549.25
51,NIFTY19MAR209350PE,65,BUY,382.7,13 Mar 2020 10:45:14,SELL,382.7,13 Mar 2020 10:45:29,0,1953.25
51,NIFTY19MAR209400PE,65,SELL,462.35,13 Mar 2020 10:45:14,BUY,423.85,13 Mar 2020 10:45:29,2502.5,1953.25
52,NIFTY19MAR209350PE,65,BUY,337.45,16 Mar 2020 10:45:14,SELL,324.85,16 Mar 2020 10:50:00,-819,2219.75
52,NIFTY19MAR209400PE,65,SELL,353.2,16 Mar 2020 10:45:14,BUY,336.5,16 Mar 2020 10:50:00,1085.5,2219.75
53,NIFTY19MAR209250PE,65,BUY,299,17 Mar 2020 10:45:14,SELL,313.95,17 Mar 2020 11:01:44,971.75,1157
53,NIFTY19MAR209300PE,65,SELL,308.7,17 Mar 2020 10:45:14,BUY,340,17 Mar 2020 11:02:00,-2034.5,1157
54,NIFTY19MAR208800PE,65,BUY,175.4,18 Mar 2020 10:45:14,SELL,184.15,18 Mar 2020 10:45:44,568.75,1095.25
54,NIFTY19MAR208850PE,65,SELL,193.3,18 Mar 2020 10:45:14,BUY,203,18 Mar 2020 10:46:00,-630.5,1095.25
55,NIFTY19MAR207900PE,65,BUY,125.7,19 Mar 2020 10:45:14,SELL,119.05,19 Mar 2020 10:45:29,-432.25,1300
